designerCode,beforeWord,afterWord,customId
"18250581","LOEWE","로에베","bcm499"
"7579668","Loewe Pre-Owned","로에베 프리오운드","bcm499"
"365250","Longchamp","롱샴","bcm499"
"191090","Loro Piana","로로피아나","bcm499"
"105232505","Loro Piana Pre-Owned","로로피아나 프리오운드","bcm499"
"762802","Maison Kitsuné","메종 키츠네","bcm499"
"4981","Maison Margiela","메종 마르지엘라","bcm499"
"12070683","Maje","마쥬","bcm499"
"20851","MARANT ÉTOILE","이자벨 마랑 에뚜왈","bcm499"
"2762","Marc Jacobs","마크 제이콥스","bcm499"
"4224","Marni","마르니","bcm499"
"12189188","Max Mara","막스마라","bcm499"
"107463416","Max Mara Eyewear","막스마라 아이웨어","bcm499"
"8593682","Michael Kors","마이클 코어스","bcm499"
"8360","Miu Miu","미우미우","bcm499"
"3494668","Miu Miu Eyewear","미우미우 아이웨어","bcm499"
"217548","Miu Miu Pre-Owned","미우미우 프리오운드","bcm499"
"114084","MM6 Maison Margiela","MM6 메종 마르지엘라","bcm499"
"80172617","MM6 Maison Margiela X Salomon","MM6 메종 마르지엘라 X Salomon","bcm499"
"4535","Moncler","몽클레르","bcm499"
"15415105","Moncler + Rick Owens","몽클레르 + 릭 오웬스","bcm499"
"5321183","Moncler Eyewear","몽클레르 아이웨어","bcm499"
"59087","Moncler Grenoble","몽클레르 그레노블","bcm499"
"12533164","Moncler x Poldo","몽클레르 x Poldo","bcm499"
"2682710","Montblanc","몽블랑","bcm499"
"6770148","Moose Knuckles","무스너클","bcm499"
"61861","New Balance","뉴발란스","bcm499"
"1664","Nike","나이키","bcm499"
"1205035","Off-White","오프화이트","bcm499"
"109925211","Off-White Eyewear","오프화이트 아이웨어","bcm499"
"103901777","Off-White Pre-Owned","오프화이트 프리오운드","bcm499"
"3539540","OMEGA","오메가","bcm499"
"27462","OUR LEGACY","아워레가시","bcm499"
"3846422","Piaget","피아제","bcm499"
"120925","PINKO","핑코","bcm499"
"22775","Polo Ralph Lauren","폴로 랄프 로렌","bcm499"
"34624","Prada","프라다","bcm499"
"3494617","Prada Eyewear","프라다 아이웨어","bcm499"
"92791","Prada Pre-Owned","프라다 프리오운드","bcm499"
"6390","Ray-Ban","레이밴","bcm499"
"13926","RED Valentino","레드 발렌티노","bcm499"
"3060","Rick Owens","릭 오웬스","bcm499"
"4752","Rick Owens DRKSHDW","릭 오웬스 DRKSHDW","bcm499"
"102573","Rick Owens Vintage","릭 오웬스 빈티지","bcm499"
"16671","Roger Vivier","로저 비비에","bcm499"
"547344","Saint Laurent","생로랑","bcm499"
"5224135","Saint Laurent Eyewear","생로랑 아이웨어","bcm499"
"61323144","Saint Laurent Pre-Owned","생로랑 프리오운드","bcm499"
"9967283","SANDRO","산드로","bcm499"
"3451","See by Chloé","See by 끌로에","bcm499"
"309257","See By Chloé Vintage","See By 끌로에 빈티지","bcm499"
"5502","Stella McCartney","스텔라 맥카트니","bcm499"
"5220386","Stella McCartney Eyewear","스텔라 맥카트니 아이웨어","bcm499"
"115033480","Stella McCartney Pre-Owned","스텔라 맥카트니 프리오운드","bcm499"
"13198","Stone Island","스톤 아일랜드","bcm499"
"41475","Stüssy","스투시","bcm499"
"2682717","TAG Heuer","태그호이어","bcm499"
"16984796","TAG Heuer Pre-Owned","태그호이어 프리오운드","bcm499"
"1331890","TASAKI","타사키","bcm499"
"42445","The Row","더로우","bcm499"
"115041063","The Row Pre-Owned","더로우 프리오운드","bcm499"
"9463","Theory","띠어리","bcm499"
"39691","Thom Browne","톰브라운","bcm499"
"5404743","Thom Browne Eyewear","톰브라운 아이웨어","bcm499"
"7227428","Tiffany & Co Eyewear","티파니앤코 아이웨어","bcm499"
"2302343","Tiffany & Co.","티파니앤코","bcm499"
"584751","Tiffany & Co. Pre-Owned","티파니앤코 프리오운드","bcm499"
"29852","Tod's","토즈","bcm499"
"8519","TOM FORD","톰포드","bcm499"
"3664319","TOM FORD Eyewear","톰포드 아이웨어","bcm499"
"134854772","Tom Ford Pre-Owned","톰포드 프리오운드","bcm499"
"18286","Tory Burch","토리버치","bcm499"
"3802680","TOTEME","토템","bcm499"
"23606","UGG","어그","bcm499"
"3846453","Vacheron Constantin","바쉐론 콘스탄틴","bcm499"
"534369","Valentino Garavani","발렌티노 가라바니","bcm499"
"5221149","VALENTINO GARAVANI EYEWEAR","발렌티노 가라바니 아이웨어","bcm499"
"17524559","Valentino Garavani Pre-Owned","발렌티노 가라바니 프리오운드","bcm499"
"73041","Valentino Pre-Owned","발렌티노 프리오운드","bcm499"
"5773416","Van Cleef & Arpels","반클리프 아펠","bcm499"
"14847437","Van Cleef & Arpels Pre-Owned","반클리프 아펠 프리오운드","bcm499"
"1056024","Van Cleef & Arpels Vintage","반클리프 아펠 빈티지","bcm499"
"6803","Versace","베르사체","bcm499"
"6764696","Versace Eyewear","베르사체 아이웨어","bcm499"
"10768029","Versace Jeans Couture","베르사체 진 쿠튀르","bcm499"
"129178","Versace Pre-Owned","베르사체 프리오운드","bcm499"
"14223633","VETEMENTS","베트멍","bcm499"
"786218","Weekend Max Mara","Weekend 막스마라","bcm499"
"2643171","'S Max Mara","'S 막스마라","bcm499"
"12264703","Nike X Off-White","나이키 X 오프화이트","bcm499"
"1842582","Tom Ford Vintage","톰포드 빈티지","bcm499"
